game_date,team_abbr,team_points,team_rebounds,team_assists,rest_days,avg_plus_minus,win_loss,rolling_avg,residual
2020-12-27,LAC,73.0,36.0,13.0,2,-19.615384615384617,L,116.5,-43.5
2018-11-14,UTA,68.0,33.0,16.0,2,-19.23076923076923,L,107.3,-39.3
2019-03-11,DET,75.0,49.0,16.0,1,-10.76923076923077,L,112.5,-37.5
2022-01-25,SAC,75.0,45.0,15.0,3,-20.384615384615383,L,110.5,-35.5
2021-10-25,WAS,90.0,53.0,16.0,3,-5.384615384615385,L,125.2,-35.2
2019-03-13,DET,74.0,37.0,20.0,2,-13.076923076923077,L,108.9,-34.900000000000006
2021-10-29,DAL,75.0,36.0,14.0,1,-11.071428571428571,L,109.6,-34.599999999999994
2021-10-25,POR,86.0,47.0,15.0,2,-12.5,L,119.9,-33.900000000000006
2021-04-17,PHX,85.0,48.0,19.0,2,-10.0,L,118.7,-33.7
2020-01-02,TOR,76.0,48.0,20.0,2,-4.444444444444445,L,109.7,-33.7
